#GSE10320	Prognostic__Relapse	no_covariates
#GSE1456	Prognostic__Death_BC_Group	Histological__ELSTON
#GSE1456	Prognostic__Relapse_Group	Histological__ELSTON
GSE2109_Kidney	PatientCharacteristic__Multiple_Tumors	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Kidney	Stage__M	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Kidney	Stage__Stage	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Kidney	Stage__T	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Lung	Histological__Grade	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Lung	PatientCharacteristic__Family_History_of_Cancer	PatientCharacteristic__Gender
#GSE2109_Lung	Stage__Stage	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Lung	Stage__T	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Ovary	Histological__Grade	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Ovary	PatientCharacteristic__Family_History_of_Cancer	no_covariates
GSE2109_Ovary	Stage__M	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Ovary	Stage__N	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Ovary	Stage__Stage	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Ovary	Stage__T	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Prostate	Histological__Grade	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Prostate	PatientCharacteristic__Family_History_of_Cancer	PatientCharacteristic__Ethnic_Background
#GSE2109_Prostate	Stage__Stage	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Prostate	Stage__T	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Uterus	Histological__Grade	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Uterus	PatientCharacteristic__Family_History_of_Cancer	no_covariates
GSE2109_Uterus	Stage__N	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Uterus	Stage__Stage	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Uterus	Stage__T	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE21510	Stage__stage	no_covariates
GSE25507	Diagnosis__group	PatientCharacteristic__maternal_age,PatientCharacteristic__paternal_age,PatientCharacteristic__subject_age
#GSE26682_U133A	MolecularMarker__microsatellite_instability_msi_status	PatientCharacteristic__age,PatientCharacteristic__gender
#GSE26682_U133PLUS2	MolecularMarker__microsatellite_instability_msi_status	PatientCharacteristic__age,PatientCharacteristic__gender
#GSE27279	Histological__location	PatientCharacteristic__age,PatientCharacteristic__gender
#GSE27342	Histological__grade	PatientCharacteristic__age,PatientCharacteristic__gender
#GSE27342	Stage__Stage	PatientCharacteristic__age,PatientCharacteristic__gender
GSE27854	Stage__Stage	no_covariates
GSE30219	Histological__histology	PatientCharacteristic__age_at_surgery,PatientCharacteristic__gender
GSE30219	Prognostic__survival	PatientCharacteristic__age_at_surgery,PatientCharacteristic__gender
GSE30219	Stage__pm_stage	PatientCharacteristic__age_at_surgery,PatientCharacteristic__gender
GSE30219	Stage__pn_stage	PatientCharacteristic__age_at_surgery,PatientCharacteristic__gender
GSE30219	Stage__pt_stage	PatientCharacteristic__age_at_surgery,PatientCharacteristic__gender
#GSE30784	Diagnosis__status	PatientCharacteristic__age,PatientCharacteristic__Sex
#GSE32646	Histological__histological_grade	PatientCharacteristic__age
#GSE32646	MolecularMarker__er_status_ihc	PatientCharacteristic__age,Stage__lymph_node_status
#GSE32646	MolecularMarker__her2_status_fish	PatientCharacteristic__age,Stage__lymph_node_status
#GSE32646	MolecularMarker__pr_status_ihc	PatientCharacteristic__age,Stage__lymph_node_status
#GSE32646	Prognostic__pathologic_response_pcr_ncr	PatientCharacteristic__age,Stage__lymph_node_status
#GSE32646	Stage__clinical_t_stage	PatientCharacteristic__age
#GSE32646	Stage__lymph_node_status	PatientCharacteristic__age
#GSE37147	Diagnosis__copd	PatientCharacteristic__pack_years,PatientCharacteristic__Sex
GSE37199	Prognostic__Stage	no_covariates
#GSE37745	Histological__histology	PatientCharacteristic__age,PatientCharacteristic__gender
#GSE37745	PatientCharacteristic__performance_status_corresponding_to_who_criteria	PatientCharacteristic__age,PatientCharacteristic__gender
#GSE37745	Prognostic__group_recurrence	Histological__histology,PatientCharacteristic__age,PatientCharacteristic__gender,PatientCharacteristic__performance_status_corresponding_to_who_criteria,Stage__tumor_stage
#GSE37745	Stage__tumor_stage	PatientCharacteristic__age,PatientCharacteristic__gender
GSE37892	Prognosis__group_metastasis	PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__gender,PatientCharacteristic__localisation
GSE37892	Stage__Stage	PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__gender,PatientCharacteristic__localisation
#GSE38958	Diagnosis__diagnosis	PatientCharacteristic__age,PatientCharacteristic__ethnicity,PatientCharacteristic__gender
GSE39491	Diagnosis__cell_type	no_covariates
#GSE39582	MolecularMarker__braf.mutation	MolecularMarker__cimp.status,PatientCharacteristic__age.at.diagnosis_year,PatientCharacteristic__Sex
#GSE39582	MolecularMarker__cimp.status	MolecularMarker__cimp.status,PatientCharacteristic__age.at.diagnosis_year,PatientCharacteristic__Sex
#GSE39582	MolecularMarker__cin.status	MolecularMarker__cimp.status,PatientCharacteristic__age.at.diagnosis_year,PatientCharacteristic__Sex
#GSE39582	MolecularMarker__kras.mutation	MolecularMarker__cimp.status,PatientCharacteristic__age.at.diagnosis_year,PatientCharacteristic__Sex
#GSE39582	MolecularMarker__mmr.status	MolecularMarker__cimp.status,PatientCharacteristic__age.at.diagnosis_year,PatientCharacteristic__Sex
#GSE39582	MolecularMarker__tp53.mutation	MolecularMarker__cimp.status,PatientCharacteristic__age.at.diagnosis_year,PatientCharacteristic__Sex
#GSE39582	PatientCharacteristic__tumor.location	MolecularMarker__cimp.status,PatientCharacteristic__age.at.diagnosis_year,PatientCharacteristic__Sex
#GSE39582	Prognostic__os_group	MolecularMarker__cimp.status,PatientCharacteristic__age.at.diagnosis_year,PatientCharacteristic__Sex
#GSE39582	Prognostic__rfs_group	MolecularMarker__cimp.status,PatientCharacteristic__age.at.diagnosis_year,PatientCharacteristic__Sex
#GSE39582	Stage__tnm.stage	MolecularMarker__cimp.status,PatientCharacteristic__age.at.diagnosis_year,PatientCharacteristic__Sex
#GSE40292	Diagnosis__diagnosis	PatientCharacteristic__gender
#GSE4271	Histological__who_grade	PatientCharacteristic__Sex
#GSE4271	Prognostic__Survival_Group	PatientCharacteristic__Sex
#GSE4271	Stage__specimen_type	PatientCharacteristic__Sex
#GSE43176	MolecularMarker__nras_status	MolecularMarker__subtype
GSE46449	Diagnosis__genotype	PatientCharacteristic__age
#GSE46691	Prognostic__metastatic_event	Histological__gleason_score
#GSE46995	Diagnosis__condition	PatientCharacteristic__age_of_biopsy
GSE48391	MolecularMarker__er	no_covariates
GSE48391	MolecularMarker__her2	no_covariates
GSE48391	Prognostic__Survival_Group	no_covariates
#GSE5460	Histological__BR_grade	no_covariates
#GSE5460	Histological__LVI	no_covariates
#GSE5460	Histological__tumor_type	no_covariates
#GSE5460	MolecularMarker__ER	no_covariates
#GSE5460	MolecularMarker__HER2	no_covariates
#GSE5460	Stage__node_status	no_covariates
#GSE5462	Prognostic__Response	no_covariates
#GSE58697	Prognostic__recurrence_group	PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__Sex,PatientCharacteristic__tumor_location
#GSE63885	Histological__histopathological_type_of_tumor	no_covariates
#GSE63885	Histological__tumor_grade	no_covariates
#GSE63885	MolecularMarker__brca1_mut_simp	no_covariates
#GSE63885	MolecularMarker__somatic_tp53_mutation	no_covariates
#GSE63885	Prognostic__clinical_status_post_1st_line_chemotherapy	Histological__histopathological_type_of_tumor,MolecularMarker__brca1_mut_simp,MolecularMarker__somatic_tp53_mutation,MolecularMarker__tp53_accumulation
#GSE63885	Prognostic__os_group	Histological__histopathological_type_of_tumor,MolecularMarker__brca1_mut_simp,MolecularMarker__somatic_tp53_mutation,MolecularMarker__tp53_accumulation
#GSE63885	Stage__figo_stage	no_covariates
#GSE6532_U133A	Histological__grade	no_covariates
#GSE6532_U133A	MolecularMarker__er	no_covariates
#GSE6532_U133A	Prognostic__group_dmfs	no_covariates
#GSE6532_U133A	Prognostic__group_rfs	no_covariates
#GSE6532_U133A	Stage__node	no_covariates
#GSE6532_U133PLUS2	Histological__grade	no_covariates
#GSE6532_U133PLUS2	MolecularMarker__pgr	no_covariates
#GSE6532_U133PLUS2	Prognostic__group_dmfs	no_covariates
#GSE6532_U133PLUS2	Prognostic__group_rfs	no_covariates
#GSE6532_U133PLUS2	Stage__node	no_covariates
#GSE67784	MolecularMarker__V30M_Carrier	PatientCharacteristic__age,PatientCharacteristic__gender
#GSE67784	Stage__Symptoms	PatientCharacteristic__age,PatientCharacteristic__gender
#TCGA_BLCA	Prognostic__overall_survival	Stage__ajcc_pathologic_tumor_stage,PatientCharacteristic__gender,PatientCharacteristic__race,Histological__histologic_subtype,Histological__neoplasm_histologic_grade,PatientCharacteristic__height_cm_at_diagnosis,PatientCharacteristic__weight_kg_at_diagnosis,PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__tobacco_smoking_history_indicator,Stage__ajcc_tumor_pathologic_pt,Stage__ajcc_nodes_pathologic_pn
#TCGA_BLCA	Histological__histologic_subtype	PatientCharacteristic__gender,PatientCharacteristic__race,PatientCharacteristic__height_cm_at_diagnosis,PatientCharacteristic__weight_kg_at_diagnosis,PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__tobacco_smoking_history_indicator,Stage__ajcc_tumor_pathologic_pt,Stage__ajcc_nodes_pathologic_pn
#TCGA_BLCA	Prognostic__incidental_prostate_cancer_indicator	Stage__ajcc_pathologic_tumor_stage,PatientCharacteristic__gender,PatientCharacteristic__race,Histological__histologic_subtype,Histological__neoplasm_histologic_grade,PatientCharacteristic__height_cm_at_diagnosis,PatientCharacteristic__weight_kg_at_diagnosis,PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__tobacco_smoking_history_indicator,Stage__ajcc_tumor_pathologic_pt,Stage__ajcc_nodes_pathologic_pn
#TCGA_BLCA	Stage__ajcc_nodes_pathologic_pn	PatientCharacteristic__gender,PatientCharacteristic__race,PatientCharacteristic__height_cm_at_diagnosis,PatientCharacteristic__weight_kg_at_diagnosis,PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__tobacco_smoking_history_indicator
#TCGA_COAD	Prognostic__overall_survival	Stage__ajcc_metastasis_pathologic_pm,Stage__ajcc_nodes_pathologic_pn,PatientCharacteristic__gender,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__history_other_malignancy.1,PatientCharacteristic__age_at_initial_pathologic_diagnosis,PatientCharacteristic__history_colon_polyps,PatientCharacteristic__family_history_colorectal_cancer,Stage__ajcc_pathologic_tumor_stage,Histological__histologic_diagnosis,Histological__anatomic_neoplasm_subdivision,Histological__residual_tumor
#TCGA_COAD	Stage__ajcc_metastasis_pathologic_pm	PatientCharacteristic__gender,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__history_other_malignancy.1,PatientCharacteristic__age_at_initial_pathologic_diagnosis,PatientCharacteristic__history_colon_polyps,PatientCharacteristic__family_history_colorectal_cancer,Histological__anatomic_neoplasm_subdivision,Histological__residual_tumor
#TCGA_COAD	Prognostic__lymphovascular_invasion_indicator	PatientCharacteristic__gender,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__history_other_malignancy.1,PatientCharacteristic__age_at_initial_pathologic_diagnosis,PatientCharacteristic__history_colon_polyps,PatientCharacteristic__family_history_colorectal_cancer,Histological__anatomic_neoplasm_subdivision,Histological__residual_tumor
#TCGA_COAD	Stage__ajcc_nodes_pathologic_pn	PatientCharacteristic__gender,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__history_other_malignancy.1,PatientCharacteristic__age_at_initial_pathologic_diagnosis,PatientCharacteristic__history_colon_polyps,PatientCharacteristic__family_history_colorectal_cancer,Histological__anatomic_neoplasm_subdivision,Histological__residual_tumor
#TCGA_COAD	Histological__histologic_diagnosis	PatientCharacteristic__gender,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__history_other_malignancy.1,PatientCharacteristic__age_at_initial_pathologic_diagnosis,PatientCharacteristic__history_colon_polyps,PatientCharacteristic__family_history_colorectal_cancer,Histological__anatomic_neoplasm_subdivision,Histological__residual_tumor
#TCGA_KIRC	Prognostic__overall_survival	Stage__ajcc_metastasis_pathologic_pm,Stage__ajcc_nodes_pathologic_pn,PatientCharacteristic__white_cell_count,PatientCharacteristic__gender,PatientCharacteristic__race,PatientCharacteristic__history_neoadjuvant_treatment,Histological__tumor_grade,PatientCharacteristic__hemoglobin_level,Stage__ajcc_pathologic_tumor_stage,PatientCharacteristic__platelet_count,PatientCharacteristic__age_at_initial_pathologic_diagnosis,Histological__laterality,Stage__ajcc_tumor_pathologic_pt,PatientCharacteristic__history_other_malignancy
#TCGA_KIRC	Stage__ajcc_metastasis_pathologic_pm	PatientCharacteristic__white_cell_count,PatientCharacteristic__gender,PatientCharacteristic__race,PatientCharacteristic__history_neoadjuvant_treatment,PatientCharacteristic__hemoglobin_level,PatientCharacteristic__platelet_count,PatientCharacteristic__age_at_initial_pathologic_diagnosis,Histological__laterality,PatientCharacteristic__history_other_malignancy
#TCGA_LUAD	Prognostic__overall_survival	Stage__ajcc_metastasis_pathologic_pm,Stage__ajcc_nodes_pathologic_pn,PatientCharacteristic__gender,PatientCharacteristic__race,Histological__residual_tumor,Stage__ajcc_pathologic_tumor_stage,PatientCharacteristic__age_at_initial_pathologic_diagnosis,Stage__ajcc_tumor_pathologic_pt,Histological__anatomic_organ_subdivision,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__tobacco_smoking_history_indicator
#TCGA_LUAD	Stage__ajcc_metastasis_pathologic_pm	PatientCharacteristic__gender,PatientCharacteristic__race,PatientCharacteristic__age_at_initial_pathologic_diagnosis,Histological__anatomic_organ_subdivision,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__tobacco_smoking_history_indicator
#TCGA_LUAD	Stage__ajcc_nodes_pathologic_pn	PatientCharacteristic__gender,PatientCharacteristic__race,PatientCharacteristic__age_at_initial_pathologic_diagnosis,Histological__anatomic_organ_subdivision,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__tobacco_smoking_history_indicator
#TCGA_PRAD	Prognostic__biochemical_recurrence_indicator	Stage__pathologic_N,Histological__residual_tumor,Histological__histologic_diagnosis,PatientCharacteristic__age_at_initial_pathologic_diagnosis,Histological__laterality,Stage__pathologic_T,PatientCharacteristic__psa_most_recent_results,PatientCharacteristic__gleason_score,Stage__clinical_T,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__gleason_pattern_primary,PatientCharacteristic__gleason_pattern_secondary
#TCGA_PRAD	Stage__pathologic_N	Histological__residual_tumor,PatientCharacteristic__age_at_initial_pathologic_diagnosis,Histological__laterality,PatientCharacteristic__psa_most_recent_results,PatientCharacteristic__gleason_score,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__gleason_pattern_primary,PatientCharacteristic__gleason_pattern_secondary
