#GSE1456	Prognostic__Death_BC_Group	Histological__ELSTON
GSE1456	Prognostic__Relapse_Group	Histological__ELSTON
#GSE27342	Stage__Stage	PatientCharacteristic__age,PatientCharacteristic__gender
GSE27854	Stage__Stage	no_covariates
#GSE30219	Histological__histology	PatientCharacteristic__age_at_surgery,PatientCharacteristic__gender
GSE30219	Prognostic__survival	PatientCharacteristic__age_at_surgery,PatientCharacteristic__gender
#GSE30219	Stage__pm_stage	PatientCharacteristic__age_at_surgery,PatientCharacteristic__gender
GSE30219	Stage__pn_stage	PatientCharacteristic__age_at_surgery,PatientCharacteristic__gender
#GSE30219	Stage__pt_stage	PatientCharacteristic__age_at_surgery,PatientCharacteristic__gender
GSE37147	Diagnosis__copd	PatientCharacteristic__pack_years,PatientCharacteristic__Sex
#GSE37199	Prognostic__Stage	no_covariates
GSE37892	Prognosis__group_metastasis	PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__gender,PatientCharacteristic__localisation
#GSE37892	Stage__Stage	PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__gender,PatientCharacteristic__localisation
GSE38958	Diagnosis__diagnosis	PatientCharacteristic__age,PatientCharacteristic__ethnicity,PatientCharacteristic__gender
#GSE39491	Diagnosis__cell_type	no_covariates
GSE40292	Diagnosis__diagnosis	PatientCharacteristic__gender
#GSE4271	Histological__who_grade	PatientCharacteristic__Sex
GSE4271	Prognostic__Survival_Group	PatientCharacteristic__Sex
#GSE4271	Stage__specimen_type	PatientCharacteristic__Sex
GSE46449	Diagnosis__genotype	PatientCharacteristic__age
#GSE48391	MolecularMarker__er	no_covariates
GSE48391	MolecularMarker__her2	no_covariates
#GSE48391	Prognostic__Survival_Group	no_covariates
GSE67784	MolecularMarker__V30M_Carrier	PatientCharacteristic__age,PatientCharacteristic__gender
#GSE67784	Stage__Symptoms	PatientCharacteristic__age,PatientCharacteristic__gender
TCGA_BLCA	Prognostic__overall_survival	Stage__ajcc_pathologic_tumor_stage,PatientCharacteristic__gender,PatientCharacteristic__race,Histological__histologic_subtype,Histological__neoplasm_histologic_grade,PatientCharacteristic__height_cm_at_diagnosis,PatientCharacteristic__weight_kg_at_diagnosis,PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__tobacco_smoking_history_indicator,Stage__ajcc_tumor_pathologic_pt,Stage__ajcc_nodes_pathologic_pn
#TCGA_BLCA	Histological__histologic_subtype	PatientCharacteristic__gender,PatientCharacteristic__race,PatientCharacteristic__height_cm_at_diagnosis,PatientCharacteristic__weight_kg_at_diagnosis,PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__tobacco_smoking_history_indicator,Stage__ajcc_tumor_pathologic_pt,Stage__ajcc_nodes_pathologic_pn
TCGA_BLCA	Prognostic__incidental_prostate_cancer_indicator	Stage__ajcc_pathologic_tumor_stage,PatientCharacteristic__gender,PatientCharacteristic__race,Histological__histologic_subtype,Histological__neoplasm_histologic_grade,PatientCharacteristic__height_cm_at_diagnosis,PatientCharacteristic__weight_kg_at_diagnosis,PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__tobacco_smoking_history_indicator,Stage__ajcc_tumor_pathologic_pt,Stage__ajcc_nodes_pathologic_pn
#TCGA_BLCA	Stage__ajcc_nodes_pathologic_pn	PatientCharacteristic__gender,PatientCharacteristic__race,PatientCharacteristic__height_cm_at_diagnosis,PatientCharacteristic__weight_kg_at_diagnosis,PatientCharacteristic__age_at_diagnosis,PatientCharacteristic__history_other_malignancy,PatientCharacteristic__tobacco_smoking_history_indicator
TCGA_KIRC	Prognostic__overall_survival	Stage__ajcc_metastasis_pathologic_pm,Stage__ajcc_nodes_pathologic_pn,PatientCharacteristic__white_cell_count,PatientCharacteristic__gender,PatientCharacteristic__race,PatientCharacteristic__history_neoadjuvant_treatment,Histological__tumor_grade,PatientCharacteristic__hemoglobin_level,Stage__ajcc_pathologic_tumor_stage,PatientCharacteristic__platelet_count,PatientCharacteristic__age_at_initial_pathologic_diagnosis,Histological__laterality,Stage__ajcc_tumor_pathologic_pt,PatientCharacteristic__history_other_malignancy
#TCGA_KIRC	Stage__ajcc_metastasis_pathologic_pm	PatientCharacteristic__white_cell_count,PatientCharacteristic__gender,PatientCharacteristic__race,PatientCharacteristic__history_neoadjuvant_treatment,PatientCharacteristic__hemoglobin_level,PatientCharacteristic__platelet_count,PatientCharacteristic__age_at_initial_pathologic_diagnosis,Histological__laterality,PatientCharacteristic__history_other_malignancy
